symbol,side,size,price,timestamp
ETH,BUY,0.1000,492005.000,2024-07-12 21:02:13.103
ETH,BUY,1.8200,492005.000,2024-07-12 21:02:20.161
ETH,BUY,0.4000,492005.000,2024-07-12 21:02:30.162
ETH,BUY,0.0300,492005.000,2024-07-12 21:02:30.252
ETH,BUY,0.4000,492673.000,2024-07-12 21:02:30.585
ETH,BUY,0.0100,492429.000,2024-07-12 21:06:53.179
ETH,BUY,0.1900,492466.000,2024-07-12 21:08:38.383
ETH,BUY,0.5000,492540.000,2024-07-12 21:09:57.799
ETH,BUY,0.1000,492862.000,2024-07-12 21:12:36.100
ETH,BUY,1.0000,492911.000,2024-07-12 21:14:08.625
ETH,BUY,0.2004,493020.000,2024-07-12 21:14:08.625
ETH,BUY,0.1000,493020.000,2024-07-12 21:14:09.273
ETH,BUY,0.0100,493522.000,2024-07-12 21:16:31.296
ETH,BUY,0.0100,493522.000,2024-07-12 21:16:31.372
ETH,BUY,0.0100,493600.000,2024-07-12 21:16:31.877
ETH,BUY,0.0100,493600.000,2024-07-12 21:16:32.071
ETH,BUY,0.0100,493084.000,2024-07-12 21:18:20.213
ETH,BUY,0.0200,493089.000,2024-07-12 21:18:23.927
ETH,SELL,1.0000,492688.000,2024-07-12 21:22:16.692
ETH,SELL,0.1200,492660.000,2024-07-12 21:22:16.692
ETH,BUY,0.0100,492759.000,2024-07-12 21:25:58.326
ETH,BUY,0.4500,492458.000,2024-07-12 21:31:26.486
ETH,BUY,0.4000,492485.000,2024-07-12 21:31:28.165
ETH,BUY,0.0100,492559.000,2024-07-12 21:31:39.947
ETH,BUY,0.0100,492564.000,2024-07-12 21:31:39.947
ETH,BUY,0.0100,492595.000,2024-07-12 21:31:40.311
ETH,BUY,0.0300,492527.000,2024-07-12 21:33:24.195
ETH,BUY,0.0200,492550.000,2024-07-12 21:34:52.636
ETH,BUY,0.0100,492525.000,2024-07-12 21:38:29.330
ETH,BUY,0.0102,492562.000,2024-07-12 21:38:29.330
ETH,BUY,0.0102,492626.000,2024-07-12 21:38:29.718
ETH,BUY,0.0200,492625.000,2024-07-12 21:38:32.780
ETH,BUY,0.6000,492528.000,2024-07-12 21:39:21.568
ETH,BUY,0.6000,492741.000,2024-07-12 21:39:49.561
ETH,BUY,0.4000,492741.000,2024-07-12 21:39:50.572
ETH,BUY,0.4000,492812.000,2024-07-12 21:40:01.627
ETH,BUY,0.3000,492812.000,2024-07-12 21:40:03.143
ETH,BUY,0.0200,492968.000,2024-07-12 21:40:30.824
ETH,BUY,0.3500,492968.000,2024-07-12 21:40:30.871
ETH,BUY,0.3000,492968.000,2024-07-12 21:40:31.477
ETH,BUY,0.4000,492975.000,2024-07-12 21:40:35.696
ETH,BUY,0.0400,493136.000,2024-07-12 21:41:31.006
