symbol,side,size,price,timestamp
ETH,BUY,0.0100,552300.000,2024-07-02 21:00:11.901
ETH,BUY,0.0136,552300.000,2024-07-02 21:03:03.991
ETH,BUY,0.0112,552300.000,2024-07-02 21:03:11.293
ETH,BUY,0.0200,552300.000,2024-07-02 21:03:38.632
ETH,BUY,0.0100,552300.000,2024-07-02 21:04:06.417
ETH,BUY,0.0100,552300.000,2024-07-02 21:04:19.485
ETH,BUY,0.0500,552300.000,2024-07-02 21:04:30.679
ETH,BUY,0.5000,552300.000,2024-07-02 21:05:20.003
ETH,BUY,0.0100,552300.000,2024-07-02 21:05:47.226
ETH,BUY,0.0180,552300.000,2024-07-02 21:05:59.800
ETH,BUY,0.1000,552300.000,2024-07-02 21:07:10.729
ETH,BUY,0.0200,552300.000,2024-07-02 21:07:34.481
ETH,BUY,0.3200,552300.000,2024-07-02 21:07:37.378
ETH,BUY,0.3600,552300.000,2024-07-02 21:07:41.113
ETH,BUY,0.2000,552300.000,2024-07-02 21:09:15.877
ETH,BUY,0.0362,552300.000,2024-07-02 21:15:23.531
ETH,SELL,0.0638,552300.000,2024-07-02 21:15:28.574
ETH,SELL,0.3162,552202.000,2024-07-02 21:15:28.574
ETH,BUY,0.7500,552305.000,2024-07-02 21:16:28.342
ETH,BUY,0.2000,552450.000,2024-07-02 21:16:44.531
ETH,SELL,0.5500,552411.000,2024-07-02 21:17:03.307
ETH,SELL,0.0120,552531.000,2024-07-02 21:17:47.433
ETH,BUY,0.0350,552653.000,2024-07-02 21:23:57.244
ETH,BUY,0.0100,552740.000,2024-07-02 21:24:44.007
ETH,BUY,0.2000,552921.000,2024-07-02 21:25:35.662
ETH,BUY,0.1000,553000.000,2024-07-02 21:28:39.374
ETH,BUY,0.0100,553030.000,2024-07-02 21:28:39.374
ETH,BUY,0.0900,553059.000,2024-07-02 21:28:39.374
ETH,BUY,0.0180,552852.000,2024-07-02 21:30:13.354
ETH,BUY,0.1400,553069.000,2024-07-02 21:35:51.137
ETH,BUY,0.0200,553088.000,2024-07-02 21:35:54.812
ETH,BUY,0.0100,553098.000,2024-07-02 21:37:35.461
ETH,BUY,0.4000,553065.000,2024-07-02 21:38:20.027
ETH,BUY,0.1220,553064.000,2024-07-02 21:38:21.174
ETH,BUY,0.0780,553088.000,2024-07-02 21:38:21.174
ETH,BUY,0.3200,553183.000,2024-07-02 21:38:22.600
ETH,BUY,0.2000,553204.000,2024-07-02 21:40:20.396
ETH,BUY,1.0000,553226.000,2024-07-02 21:41:51.025
ETH,BUY,0.4000,553233.000,2024-07-02 21:41:51.025
ETH,BUY,0.1000,553262.000,2024-07-02 21:41:59.341
ETH,BUY,0.0400,553291.000,2024-07-02 21:42:08.699
ETH,BUY,0.0100,553347.000,2024-07-02 21:42:15.411
ETH,BUY,0.0100,553349.000,2024-07-02 21:42:17.694
ETH,SELL,0.0160,552715.000,2024-07-02 21:42:52.009
ETH,SELL,0.0500,552738.000,2024-07-02 21:43:29.931
ETH,BUY,0.3730,553101.000,2024-07-02 21:45:42.244
ETH,BUY,0.0500,553266.000,2024-07-02 21:47:10.168
ETH,BUY,0.9500,553278.000,2024-07-02 21:47:10.168
ETH,BUY,0.2000,553493.000,2024-07-02 21:47:11.873
ETH,BUY,0.0120,553494.000,2024-07-02 21:48:12.468
ETH,BUY,0.2000,553552.000,2024-07-02 21:49:33.900
ETH,BUY,0.0500,553581.000,2024-07-02 21:50:11.092
ETH,BUY,0.0300,553553.000,2024-07-02 21:56:08.536
ETH,BUY,1.0000,553546.000,2024-07-02 21:56:20.456
ETH,BUY,3.3325,553581.000,2024-07-02 21:56:20.456
ETH,BUY,0.0100,553125.000,2024-07-02 22:00:23.115
ETH,BUY,0.0100,553125.000,2024-07-02 22:00:25.862
ETH,BUY,0.0100,553146.000,2024-07-02 22:00:26.213
ETH,BUY,0.0100,553170.000,2024-07-02 22:00:31.676
ETH,BUY,0.0100,553202.000,2024-07-02 22:05:14.251
ETH,BUY,0.0100,553233.000,2024-07-02 22:05:16.257
ETH,SELL,0.2698,553146.000,2024-07-02 22:08:26.316
ETH,BUY,0.0100,553175.000,2024-07-02 22:09:56.716
ETH,SELL,0.0400,553234.000,2024-07-02 22:14:16.649
ETH,BUY,0.0300,553291.000,2024-07-02 22:19:39.727
ETH,SELL,0.0145,553114.000,2024-07-02 22:25:33.026
